symbol,date,f_close_kalman,f_ema_fast_mid,f_ema_mid_slow,f_rsi,f_chop,f_macd_hist,f_macd_below_zero,f_bb_pos,f_vol_ratio,f_dist_resistance,f_ema_cross,f_golden_cross,f_death_cross,f_doji,f_dragonfly,f_gravestone,f_breakout,label
LINK/USDT,2020-02-09,0.21869973264418915,0.15621229795352498,0.019523971956283803,0.7976278873908652,0.40949945417762096,0.016614491919939824,0,1.035143949209041,1.3277545391976362,-0.15633137787952497,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-10,0.16094925068234303,0.17118672845116278,0.021482999938644096,0.7327049953633303,0.4325221226623348,0.016389902389203848,0,0.8688096899651445,1.4055529049998468,-0.12934853227806986,1,0,0,0,0,0,0,1
LINK/USDT,2020-02-11,0.32259574471111174,0.1688827449661365,0.020192725886004907,0.8207534444883825,0.34783629069315614,0.022018932784523087,0,1.1285144021439266,2.216187038001558,-0.2616763917758133,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-12,0.2838384237545935,0.1884564035096424,0.022078095046610367,0.8209836489812367,0.3220392992048331,0.025476144096561484,0,0.990992098287483,2.3743045718513014,-0.2620829474632693,1,0,0,1,0,0,0,0
LINK/USDT,2020-02-13,0.21721871447963767,0.20743384053019484,0.02444884463823102,0.7639285869529909,0.33977108717900983,0.024591830591181557,0,0.8546426577296721,1.3807639534136638,-0.23946859280278604,1,0,0,0,0,0,0,1
LINK/USDT,2020-02-14,0.34007667828592436,0.20481180956166908,0.02356286941799441,0.8246354112714469,0.32616490020164485,0.026866832408348976,0,1.0059876036953204,1.6235793946894632,-0.3338906461816539,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-15,0.27181374257876556,0.22647449081060098,0.026089659514876552,0.7843546419171676,0.3345436697932936,0.027345224466747968,0,0.8833452145838491,2.207674505102885,-0.3181933812816539,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-16,0.27314640537215845,0.2362717886121365,0.02732126778115074,0.7981606461293856,0.34009143067454467,0.026275287282537897,0,0.872881920916344,2.76879326799011,-0.3384643001391195,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-17,0.20496041726815628,0.2542697672681432,0.03003501757801216,0.7418765302321542,0.37847943215604374,0.022661172661544254,0,0.7726194904849965,2.1933320122472706,-0.31608982091491145,1,0,0,0,0,0,0,1
LINK/USDT,2020-02-18,0.240318008431841,0.254036835795068,0.03037462813398701,0.7707175519976824,0.40999604300523446,0.020284263479250882,0,0.8328721013340128,1.3036515245053582,-0.352371328778859,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-19,0.1735530795818321,0.27029141654561994,0.033216404732954154,0.712168807283095,0.44945635207316825,0.015940257149079456,0,0.7311248615203617,1.0791117471359288,-0.3280149522485355,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-20,0.12561567311190497,0.2799037259450357,0.0356760982110396,0.6712645356439801,0.482324033766072,0.009506563396463425,0,0.6459792206724158,1.177669807991663,-0.30864834443298006,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-21,0.11544868846151538,0.28010806325544996,0.037012323875562796,0.6734667053556251,0.5237243221177832,0.003953167210507072,0,0.6262051710727649,0.773267993704732,0.13775772593389118,1,0,0,1,0,0,0,0
LINK/USDT,2020-02-22,0.06364353224512984,0.2872422963893982,0.03974960623400586,0.6166319619657797,0.5445413249667863,-0.00333236475225767,0,0.4810777488628342,0.6610477353432261,0.18518969463789983,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-23,0.08722688252564134,0.27731577035644495,0.0398118859694404,0.6413630317052319,0.5580556746337406,-0.006561128256020509,0,0.5442706872034941,0.5494305220905961,0.14884928596718974,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-24,0.004222043177150562,0.2890373824798515,0.043921218848157945,0.5472149368020404,0.5899791116957007,-0.015222448685415432,0,0.12381459633513174,0.8188074427217137,0.24325636047818527,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-25,-0.09561882839403062,0.2991441116347979,0.04943474292500648,0.45280360157775645,0.616469682108479,-0.030717425522625068,0,-0.13500407550086546,1.1372402916420183,0.39438475863056865,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-26,-0.0696090431012666,0.2736087461822746,0.04867447288028116,0.47004627531264087,0.5815802107747853,-0.03652568118252718,0,0.030695030615861516,1.8867027224300856,0.3653220377019748,1,0,0,0,0,0,0,1
LINK/USDT,2020-02-27,0.029756326949868087,0.24206493941464355,0.044641796642861616,0.5507113816541697,0.5975057908235192,-0.02928430271635483,0,0.33559679234262585,1.6027203029798087,0.22971777963061213,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-28,0.07413535083323981,0.23150884107895736,0.043469532231765175,0.5857753733247079,0.5867771257685526,-0.02183340664377402,0,0.5146264387856038,1.4712157831563364,0.16972289648874042,1,0,0,0,0,0,0,0
LINK/USDT,2020-02-29,0.04282941379467802,0.23495436789227547,0.04540141836333173,0.5618170340641621,0.573088222799013,-0.019636362149506537,0,0.4444162990613341,0.9819902110816071,0.19941348973607032,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-01,-0.007503158319417295,0.2384293623266573,0.04826141953245682,0.5177767241721959,0.5615453664284478,-0.021702536138927194,0,0.30837676232232,1.1223183792470437,0.2612334801762114,1,0,0,0,0,0,0,1
LINK/USDT,2020-03-02,0.08170617616627412,0.21968139845361867,0.04487109917583324,0.5852498372564793,0.551175968081614,-0.014097562719457907,0,0.6443093413127674,0.9598959609203729,0.14727859887325262,1,0,0,0,0,0,0,1
LINK/USDT,2020-03-03,0.15049226359860984,0.21321449346648377,0.042808840467936156,0.6344415725322152,0.5546832303525264,-0.0048074656927304515,0,0.9345558269624844,1.2865553306214947,0.06161933429306804,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-04,0.14659833456503554,0.21969929213996076,0.04357343505183223,0.6419240689712353,0.5095688451581315,0.0009025118080659502,0,0.9296411957530402,1.3417102938810892,0.04880834374865313,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-05,0.14700224407400092,0.2249225066435087,0.04417680131619983,0.6521255945901945,0.500924336727831,0.004874020913515058,0,0.9154587333520996,0.8503977870611703,0.03223685605819604,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-06,0.12396379357778667,0.23250619453055338,0.04568988444339162,0.6431988407461042,0.4953249569924544,0.006231453731028299,0,0.8451916826866669,0.5655366244156269,0.039667620797197364,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-07,0.03810908895096921,0.2467079470259798,0.05003438243393733,0.5598794755515075,0.49870915274083394,0.0017303994301849114,0,0.6090149110215507,0.6383747077018098,0.12114161982861883,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-08,-0.027807008588636335,0.25187598840239367,0.05393611670759778,0.5008344740890052,0.5170041319636719,-0.00669078829533498,0,0.429340726582599,1.430598798028349,0.2006561906406492,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-09,-0.01011177396348365,0.23851991378961132,0.05344297345905322,0.5141541420869271,0.5325185904135598,-0.010971152938558824,0,0.4644422986346993,2.126233705026687,0.2069074240256119,1,0,0,1,0,0,0,0
LINK/USDT,2020-03-10,-0.01769878728961644,0.23123683743754525,0.054284116110819174,0.5059419186079218,0.5226268060678081,-0.014415231083858329,0,0.3966790018490454,1.2849906649307685,0.2184921276231055,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-11,-0.0747098686100895,0.23020537009283534,0.05798904469559389,0.45288246167267393,0.5487791757803803,-0.02184701024582198,0,0.14503928987843967,1.3541586525226301,0.30372815635725336,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-12,-0.491851634229178,0.3095256723501162,0.10547589629371948,0.25565508299785733,0.25539592620320467,-0.10666910178024368,1,-0.3095941084038354,4.102210910125838,1.4967136621343637,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-13,-0.35637891413908296,0.1817812382464908,0.08302862615042791,0.33134551316954997,0.2888965889163125,-0.10508243509714925,1,0.004646455302478198,3.496017813413313,1.0450417129001768,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-14,-0.41013278428808086,0.12164346098119236,0.08996948983849126,0.3086627429240931,0.2944370622172153,-0.13514026998032405,1,0.032676585160168733,0.9900401486148609,1.3276112072594604,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-15,-0.3995858016139126,0.0475260249856414,0.08746517883716591,0.3048961701726391,0.2911740699696338,-0.14262266048830602,1,0.10014591448126553,1.0627951075173077,1.3827810764221415,1,0,0,0,0,0,0,0
LINK/USDT,2020-03-16,-0.4624094412392021,-0.040057358634031974,0.09616772853552592,0.28204324169606465,0.29140353745767406,-0.17201714035742122,1,0.10716533641965939,1.9354530516373107,1.7906011664423511,0,0,1,0,0,0,0,1
LINK/USDT,2020-03-17,-0.4135862134602505,-0.11099474430186068,0.08644503974594854,0.2970830595627514,0.2836991394313577,-0.155460022162659,1,0.17940925325477677,1.3186377144377714,1.6694919800439891,0,0,0,0,0,0,0,0
LINK/USDT,2020-03-18,-0.3636668373007761,-0.16002083987825447,0.07782267623063803,0.3132087128943934,0.280488817944802,-0.1317400264920503,1,0.23753589422737764,0.8905150638979153,1.55412410819689,0,0,0,0,0,0,0,1
LINK/USDT,2020-03-19,-0.2492890915241132,-0.16396153939931352,0.06434239105666197,0.3673223761726334,0.2975058247030298,-0.08988676115970255,1,0.3301161182316801,1.2942505528397121,1.2217162246629167,0,0,0,0,0,0,0,0
LINK/USDT,2020-03-20,-0.22463125921384813,-0.18183777853927105,0.06059947636589111,0.37102079371079877,0.3182759611965671,-0.06717632881120542,1,0.3623628671459782,1.4504626454209648,1.2018584070796463,0,0,0,1,0,0,0,0
LINK/USDT,2020-03-21,-0.20164351992212254,-0.19517086361417713,0.057104835548066814,0.3746651515777995,0.33306277572331616,-0.047530785050475276,1,0.39487396821944776,0.711409551059742,1.1837890025014262,0,0,0,1,0,0,0,0
LINK/USDT,2020-03-22,-0.2821812833124701,-0.2534566186969245,0.061217043953120685,0.34172316626073196,0.33350349064766605,-0.04534282791156129,1,0.3408647803409343,0.7769950793862789,1.5008543572218316,0,0,0,0,0,0,0,1
LINK/USDT,2020-03-23,-0.17459225581447,-0.23353668079589313,0.05130407625168123,0.3928634477224009,0.33259959624756574,-0.024024429365256818,1,0.4544538670274173,0.8409791434062978,1.2147943742211147,0,0,0,0,0,0,0,0
LINK/USDT,2020-03-24,-0.13883926908294225,-0.23085721696670225,0.0473110053592989,0.40517887827949084,0.33725907205804667,-0.008859990825887926,1,0.5361043427729274,0.6534791069805934,1.1538261772853187,0,0,0,0,0,0,0,0
LINK/USDT,2020-03-25,-0.14584506590738608,-0.24152847180271914,0.045731474057213575,0.39788118762377317,0.34681403165918345,0.0009506970615793385,1,0.6723151375563409,0.4024595292408801,0.16300398759415138,0,0,0,0,0,0,0,0
LINK/USDT,2020-03-26,-0.11407788710279337,-0.23657538514715123,0.04221234460805189,0.40992667498749713,0.5467693893212178,0.010262219240793975,1,0.7162143435072911,0.24277208486058874,0.1347484004841776,0,0,0,0,0,0,0,0
LINK/USDT,2020-03-27,-0.16706869183310002,-0.26532715881668495,0.042678753954298106,0.3840312550129407,0.5659582390092117,0.013424456853001887,1,0.5071788519391328,0.29025270851341123,0.22813830533851098,0,0,0,0,0,0,0,0
LINK/USDT,2020-03-28,-0.15394536918379095,-0.27258905050513144,0.039782725347215796,0.38389762821511864,0.5381723591200238,0.015942445584393512,1,0.5059949293492721,0.3982018991696461,0.2286556824564687,0,0,0,1,0,0,0,0
LINK/USDT,2020-03-29,-0.18888315574614703,-0.30270250647579017,0.03894714769586239,0.3644589422474783,0.5170117570337827,0.015540290602594101,1,0.3260935593360977,0.25851143413557004,0.30702584275257655,0,0,0,0,0,0,0,1
LINK/USDT,2020-03-30,-0.12626554349698296,-0.28744041415573734,0.03391662873180639,0.3969821811150245,0.5524498903253634,0.01852379227963852,1,0.47023966129707523,0.3235260587645573,0.22946135831381737,0,0,0,0,0,0,0,1
LINK/USDT,2020-03-31,-0.0662760310220636,-0.2657781314200529,0.029819536114064342,0.42944339287572086,0.551458169454365,0.024112548644117,1,0.6796623124775792,0.33666817997783544,0.1584870685850471,0,0,0,0,0,0,0,0
LINK/USDT,2020-04-01,-0.056765774511797595,-0.2591557116011638,0.02765844105253151,0.43183565685857667,0.6059354789544927,0.028696303894795695,1,0.6756894109977716,0.5939040958314976,0.15365006812288476,0,0,0,1,0,0,0,1
LINK/USDT,2020-04-02,-0.04452109045489183,-0.2507368910995003,0.02552576377832823,0.4368676468582148,0.6044336676390197,0.03184783346167429,1,0.7076645484521852,0.6768448566032362,0.1441959809947256,0,0,0,1,0,1,0,1
LINK/USDT,2020-04-03,-0.037721517617323314,-0.2435583632802765,0.02362622943027139,0.43891716660272173,0.6310010032327561,0.03376640179052849,1,0.7137551723464085,0.4462341507075643,0.14061617346717067,0,0,0,1,0,0,0,1
LINK/USDT,2020-04-04,-0.02884763274231198,-0.23529092097613497,0.021768095984664153,0.44322109395455267,0.6065553897512272,0.03473057038203505,1,0.7363860776025571,0.3404282981637185,0.13362124811055912,0,0,0,0,0,0,0,1
LINK/USDT,2020-04-05,-0.04606034062619072,-0.23668739665349592,0.020438444512697457,0.43020696602573055,0.5608782298200089,0.03418123058932523,1,0.5861425945842909,0.2037245893163149,0.15966423680141362,0,0,0,0,0,0,0,1
LINK/USDT,2020-04-06,0.06917004622911849,-0.19327340718406383,0.01720684779768278,0.5161262927919104,0.5397370778419058,0.03625334802509954,1,1.1167263712889264,0.8249063785414399,0.027157112111132815,0,0,0,0,0,0,0,1
LINK/USDT,2020-04-07,0.12704654627590908,-0.16024095134776445,0.015667639832013355,0.5589968098249626,0.38908329746071213,0.040624256465326636,1,1.144267825330976,2.000095379947014,-0.038603816430429025,0,0,0,0,0,0,1,1
LINK/USDT,2020-04-08,0.2709924647216727,-0.10709835778405324,0.013942385506354599,0.6442450502875084,0.31505737242753606,0.04629239052532688,1,1.2176867900458674,1.8173014426348553,-0.17177294670747484,0,0,0,0,0,0,0,0
LINK/USDT,2020-04-09,0.2872891746854114,-0.07238855020437865,0.014004900479574959,0.6664816755279404,0.28828816705947996,0.05203903518901787,0,1.0893897122684422,2.5025905526273178,-0.2069548928970664,0,0,0,0,0,0,0,0
LINK/USDT,2020-04-10,0.22297093427323128,-0.05102482623103334,0.01487512819278266,0.6389796909028442,0.30249849352415864,0.0543157023329837,0,0.9300075641113449,2.7270126747905534,-0.1848136645962734,0,0,0,0,0,0,0,1
LINK/USDT,2020-04-11,0.22058172916014945,-0.028015721665353155,0.015129969302022754,0.6510538599489313,0.3310597561317911,0.052546214870422506,0,0.8919741714609432,1.8546085360123667,-0.20215805471124626,0,0,0,0,0,0,0,1
LINK/USDT,2020-04-12,0.236824885748574,-0.004787470771294115,0.01530498126301401,0.6727576079162083,0.324139904690625,0.050133046328311635,0,0.8919601985900754,1.930213523043205,-0.23223843926409082,0,0,0,0,0,0,0,0
LINK/USDT,2020-04-13,0.19430343481102638,0.012614502128369197,0.016164051745331944,0.6561524943456355,0.35626207754364875,0.04706408794288853,0,0.8157998792745215,1.691043035875818,-0.2211441457480269,1,1,0,0,0,0,0,0
LINK/USDT,2020-04-14,0.1359470300942968,0.024329894630128954,0.01716902871404332,0.6163866975620438,0.3677389456860018,0.041395155031806984,0,0.7197457787956117,0.9634854642602425,-0.19283517835178351,1,0,0,0,0,0,0,0
LINK/USDT,2020-04-15,0.08097665059277931,0.030543280618800944,0.018055276152289093,0.5748676194111322,0.3984507727285459,0.033236312469612735,0,0.623673828850566,0.8606772938002378,-0.15900935537613745,1,0,0,0,0,0,0,1
