cfg,n,exp,win,reg_lo,reg_mid,reg_hi
stop2.0/2.0ATR/trail3.0,257,-0.0032836737336036496,0.47470817120622566,-0.0006342217026310742,-0.002704640983976223,-0.0065054255752544955
stop3.0/3.0ATR/noTrail,194,-0.0033069103881114086,0.4948453608247423,-0.00016102869369101386,-0.0051705950832488835,-0.004617779459627213
stop1.5/2.0ATR-decay/trail2.0,281,-0.0033456787598273386,0.3665480427046263,-0.0018867469927741813,-0.0031294659199483103,-0.005018523230165066
stop1.5/2.0ATR/trail2.0,279,-0.003349020200100118,0.35842293906810035,-0.001778577525418524,-0.0032467520745752447,-0.005021731000306586
stop3.0/3.0ATR-decay/trail3.0,215,-0.003361186870102639,0.4325581395348837,-0.0014039014412040014,-0.0046017408598513655,-0.004095148225776838
stop3.0/2.0ATR-decay/noTrail,229,-0.003412328409155261,0.6069868995633187,-0.00022569241764033168,-0.003449807892081443,-0.006603414338684994
stop3.0/noTP/trail3.0,176,-0.003485931229659339,0.32954545454545453,-0.0023216806335865808,-0.004495747699155295,-0.003657480889617429
stop1.5/3.0ATR-decay/trail3.0,258,-0.003500226956437196,0.31007751937984496,-0.001340404790198211,-0.005175437177396174,-0.003984838901717203
stop3.0/2.0ATR-decay/trail2.0,267,-0.0035462843296916314,0.41198501872659177,-0.002124973804393936,-0.0027570029571277583,-0.0057568762275531996
stop3.0/3.0ATR-decay/noTrail,206,-0.0035501575233716394,0.5145631067961165,-0.00014787983422094486,-0.005922789652217334,-0.0046141890565584605
stop2.0/2.0ATR-decay/trail2.0,273,-0.0035849214475213173,0.40293040293040294,-0.0017965378184811374,-0.0027273386407739787,-0.006230887883308836
stop2.0/2.0ATR/trail2.0,271,-0.0036025187499036646,0.39114391143911437,-0.0016725553282226273,-0.003254328440494324,-0.005902116519012721
stop3.0/2.0ATR/trail2.0,265,-0.0036432165874370867,0.39622641509433965,-0.0019998870979448012,-0.002955226596262171,-0.005993210266848518
stop2.0/3.0ATR-decay/trail3.0,241,-0.0036597329106111505,0.37344398340248963,-0.001355801394650209,-0.0040436179323891114,-0.005608578548743642
stop1.5/3.0ATR/trail3.0,256,-0.003698254423047686,0.296875,-0.0011792978780911364,-0.004784495808476541,-0.005160604365457224
stop2.0/3.0ATR/trail3.0,236,-0.003760100462682631,0.3601694915254237,-0.001284598958560743,-0.0037603845500163613,-0.006235321475512988
stop3.0/2.0ATR/noTrail,222,-0.0037770455128484093,0.581081081081081,-0.0006428853976412502,-0.003863787286435635,-0.006824463854468343
stop1.5/3.0ATR-decay/trail2.0,274,-0.003962851962209934,0.2664233576642336,-0.0022288848131297736,-0.005371639086377149,-0.004307086571178707
stop1.5/3.0ATR/trail2.0,273,-0.004082711454564487,0.26373626373626374,-0.0023361680767694155,-0.004965036029905846,-0.0049469302570182
stop1.5/noTP/trail3.0,223,-0.0042938998173825795,0.21524663677130046,-0.0015976001264043172,-0.005609085813621274,-0.005711449994432664
