symbol,date,close,volume,quote_volume,num_trades,taker_buy_base,taker_buy_ratio,flow_imbalance
BTC/USDT,2024-02-12,49917.27,59009.96705,2898220863.0181804,1939394,30797.43359,0.521902233293994,0.04380446658798798
BTC/USDT,2024-02-13,49699.59,55551.56706,2745025370.067447,1741811,28409.79337,0.5114129964923441,0.022825992984688126
BTC/USDT,2024-02-14,51795.17,57046.37401,2919604456.723313,1859392,29664.5183,0.5200070787110839,0.04001415742216774
BTC/USDT,2024-02-15,51880.0,53816.03055,2802825737.9920154,1786569,26722.58656,0.496554396281091,-0.006891207437818014
BTC/USDT,2024-02-16,52124.11,37772.25318,1965003863.9713345,1583711,18309.89888,0.4847446826310826,-0.030510634737834774
BTC/USDT,2024-02-17,51642.64,25674.00622,1319908544.9790893,1427773,12655.51593,0.4929310923100649,-0.014137815379870244
BTC/USDT,2024-02-18,52137.67,21992.10363,1139209588.4334626,1375422,11281.34692,0.5129726155260027,0.025945231052005413
BTC/USDT,2024-02-19,51774.73,29534.99432,1539600521.6007729,1542990,15266.36204,0.516890637411167,0.03378127482233406
BTC/USDT,2024-02-20,52258.82,49614.47318,2574874999.3787174,1971912,24994.25062,0.5037693442661684,0.007538688532336746
BTC/USDT,2024-02-21,51849.39,43079.40049,2210278288.725095,1824860,22239.73293,0.5162498242091947,0.03249964841838948
BTC/USDT,2024-02-22,51288.42,35309.44574,1820949707.158534,1688184,17830.4673,0.504977263911025,0.009954527822050085
BTC/USDT,2024-02-23,50744.15,30545.79544,1559143576.8296163,1487039,14610.80906,0.4783247202941394,-0.04335055941172117
BTC/USDT,2024-02-24,51568.22,16560.4211,847793393.571868,855015,8462.15627,0.5109867810064322,0.02197356201286449
BTC/USDT,2024-02-25,51728.85,18721.63159,966951114.4504627,923992,9544.17672,0.5097940675799827,0.01958813515996538
BTC/USDT,2024-02-26,54476.47,51256.72199,2710403072.980595,1808909,27198.83551,0.5306393864848867,0.061278772969773465
BTC/USDT,2024-02-27,57037.34,67194.98562,3795949115.224932,2414285,34970.25885,0.5204295905019347,0.04085918100386943
BTC/USDT,2024-02-28,62432.1,118763.46984,7162581994.48574,3895062,62066.63936,0.5226071572649161,0.04521431452983227
BTC/USDT,2024-02-29,61130.98,78425.07603,4872212871.27608,3169405,39463.06931,0.5031945304701287,0.006389060940257485
BTC/USDT,2024-03-01,62387.9,47737.93473,2956537377.9660296,1947444,24195.70252,0.5068443504489244,0.013688700897848793
BTC/USDT,2024-03-02,61987.28,25534.73659,1582566973.834093,1641808,12691.37721,0.4970240113998372,-0.005951977200325587
BTC/USDT,2024-03-03,63113.97,28994.90903,1804536272.9443457,1992011,14905.186,0.5140621750038303,0.02812435000766067
BTC/USDT,2024-03-04,68245.71,84835.16005,5568877537.081252,3887853,45319.0864,0.5342016962458715,0.0684033924917431
BTC/USDT,2024-03-05,63724.01,132696.7813,8674526591.28714,5310706,65991.84526,0.497313081850916,-0.005373836298168011
BTC/USDT,2024-03-06,66074.04,78738.85491,5197743036.597276,3302981,40344.32596,0.5123814158348421,0.024762831669684182
