t,open,high,low,close,volume,macd,sig,hist,cu,cd,ema12,ema26
2026-04-13,9.04,9.71,8.97,9.66,3419224.2,0.012155293212659402,-0.05522913660840959,0.06738442982106899,False,False,9.24238316588201,9.230227872669351
2026-04-14,9.66,9.71,9.21,9.31,3276040.98,0.01664883660802907,-0.040853541965121865,0.057502378573150936,False,False,9.252785755746316,9.236136919138287
2026-04-15,9.3,9.57,9.26,9.43,2180446.37,0.029552338281231272,-0.026772365915851238,0.056324704197082506,False,False,9.280049485631498,9.250497147350266
2026-04-16,9.44,9.89,9.26,9.73,3911612.9,0.06325676451201723,-0.008766539830277545,0.07202330434229477,False,False,9.34927264168819,9.286015877176172
2026-04-17,9.72,10.01,9.45,9.72,3237491.1,0.0881447706528089,0.010615722266339746,0.07752904838646915,False,False,9.406307619890006,9.318162849237197
2026-04-18,9.72,9.79,9.3,9.33,1985427.01,0.07552831084114686,0.023598239981301172,0.05193007085984569,False,False,9.394567986060775,9.319039675219628
2026-04-19,9.33,9.36,8.96,9.0,2781932.77,0.03845811228966056,0.026570214442973052,0.01188789784668751,False,False,9.333865218974502,9.295407106684841
2026-04-20,9.0,9.44,8.98,9.27,3340913.84,0.030514701888471052,0.027359111932072654,0.0031555899563983983,False,False,9.324039800670732,9.293525098782261
2026-04-21,9.27,9.53,9.17,9.39,2526167.85,0.03351613588311331,0.028590516722280787,0.00492561916083252,False,False,9.334187523644466,9.300671387761353
2026-04-22,9.4,9.68,9.33,9.33,2632701.83,0.030699411680815913,0.029012295713987814,0.0016871159668280997,False,False,9.333543289237625,9.302843877556809
2026-04-23,9.33,9.45,9.16,9.38,2441918.23,0.0321313296228265,0.029636102495755552,0.0024952271270709467,False,False,9.34069047550876,9.308559145885933
2026-04-24,9.39,9.48,9.28,9.4,1285732.01,0.03448247525120607,0.030605377046845655,0.003877098204360413,False,False,9.349815017738182,9.315332542486976
2026-04-25,9.4,9.5,9.28,9.36,988627.53,0.03274069504265853,0.03103244064600823,0.0017082543966502987,False,False,9.351381938086154,9.318641243043496
2026-04-26,9.36,9.55,9.31,9.45,1422096.89,0.038182426274790515,0.03246243777176469,0.005719988503025825,False,False,9.366553947611362,9.328371521336571
2026-04-27,9.46,9.57,9.08,9.27,1959769.48,0.027651789191420306,0.031500308055695814,-0.0038485188642755075,False,True,9.35169949413269,9.32404770494127
2026-04-28,9.26,9.28,9.11,9.17,1238580.9,0.011108961970073494,0.02742203883857135,-0.016313076868497856,False,False,9.323745725804583,9.31263676383451
2026-04-29,9.17,9.45,8.92,9.12,2244269.38,-0.005967144393887125,0.020744202192079658,-0.026711346585966782,False,False,9.292400229526955,9.298367373920842
2026-04-30,9.12,9.23,9.05,9.09,1164480.51,-0.021671020953755615,0.012261157562912604,-0.033932178516668215,False,False,9.261261732676653,9.282932753630408
2026-05-01,9.1,9.27,9.06,9.08,1184996.33,-0.034525385541073206,0.002903848942115442,-0.03742923448318865,False,False,9.23337531226486,9.267900697805933
2026-05-02,9.09,9.25,9.06,9.18,818732.77,-0.03622580924291974,-0.004922082694891594,-0.03130372654802814,False,False,9.225163725762574,9.261389535005494
2026-05-03,9.19,9.2,8.97,9.08,1301199.04,-0.04512242827721025,-0.012962151811355327,-0.03216027646585492,False,False,9.202830844876024,9.247953273153234
2026-05-04,9.08,9.38,8.99,9.18,2651098.82,-0.043601290161316086,-0.01908997948134748,-0.024511310679968607,False,False,9.199318407202789,9.242919697364105
2026-05-05,9.18,9.52,9.17,9.4,1941437.43,-0.02436277693477429,-0.020144538972032843,-0.004218237962741445,False,False,9.23019249840236,9.254555275337134
2026-05-06,9.4,9.78,9.37,9.61,3142945.26,0.007739907524022982,-0.014567649672821679,0.02230755719684466,True,False,9.288624421725073,9.28088451420105
2026-05-07,9.61,9.7,9.37,9.5,2245294.05,0.024028450532778578,-0.006848429631701627,0.030876880164480206,False,False,9.321143741459677,9.297115290926898
2026-05-08,9.51,10.02,9.43,9.91,2762743.15,0.06922285373869563,0.008365827042377826,0.060857026696317804,False,False,9.411737012004343,9.342514158265647
2026-05-09,9.91,10.12,9.8,9.97,1852146.85,0.10862903455542572,0.028418468544987408,0.08021056601043831,False,False,9.497623625542136,9.38899459098671
2026-05-10,9.96,10.49,9.85,10.23,2767352.07,0.15900562596961088,0.054535900029912106,0.10446972593969878,False,False,9.61029691392027,9.451291287950658
2026-05-11,10.23,10.27,9.97,10.14,1857113.37,0.18948294829161405,0.0815253096822525,0.10795763860936156,False,False,9.691789696394075,9.50230674810246
2026-05-12,10.14,10.17,9.66,9.83,1849897.01,0.18647249770866203,0.10251474728753442,0.08395775042112762,False,False,9.713052820025755,9.526580322317093
2026-05-13,9.83,10.16,9.62,9.76,1862467.14,0.17640479428659184,0.11729275668734591,0.05911203759924592,False,False,9.720275463098716,9.543870668812124
2026-05-14,9.76,10.14,9.63,9.91,1918070.54,0.1784724933799957,0.12952870402587588,0.04894378935411983,False,False,9.749463853391221,9.570991360011226
2026-05-15,9.9,9.97,9.41,9.54,1530463.96,0.14854294146308789,0.1333315515133183,0.015211389949769588,False,False,9.717238645177186,9.568695703714098
2026-05-16,9.53,9.58,9.19,9.29,1253483.79,0.10345804532918024,0.12735685027649069,-0.023898804947310448,False,True,9.651509622842234,9.548051577513053
2026-05-17,9.3,9.42,8.96,9.2,1450571.67,0.059776624764674935,0.11384080517412754,-0.0540641804094526,False,False,9.582046603943429,9.522269979178754
2026-05-18,9.19,9.27,9.01,9.24,1552618.45,0.028062957658413268,0.09668523567098469,-0.06862227801257142,False,False,9.529424049490594,9.50136109183218
2026-05-19,9.25,9.32,9.02,9.11,1038722.26,-0.0074741086802063705,0.07585336680074649,-0.08332747548095286,False,False,9.464897272645887,9.472371381326093
2026-05-20,9.1,9.4,9.06,9.298,1388184.75,-0.02023421354744137,0.05663585073110892,-0.07687006427855028,False,False,9.439220769161905,9.459454982709346
2026-05-21,9.297,9.517,9.25,9.453,2948219.92,-0.017636185012683825,0.04178144358235037,-0.059417628595034196,False,False,9.441340650829304,9.458976835841987
2026-05-22,9.453,9.602,9.099,9.154,2311807.61,-0.03925156225738746,0.025574842414402808,-0.06482640467179027,False,False,9.397134396855565,9.436385959112952
2026-05-23,9.155,9.59,8.834,9.39,3277110.76,-0.036913164802298226,0.0130772409710626,-0.04999040577336083,False,False,9.396036797339324,9.432949962141622
2026-05-24,9.391,9.429,9.069,9.212,1141151.67,-0.04885985437677398,0.0006898219014952841,-0.04954967627826926,False,False,9.367723443902506,9.41658329827928
2026-05-25,9.212,9.506,9.153,9.31,1275642.09,-0.04984532507613082,-0.009417207494029937,-0.04042811758210088,False,False,9.358842914071351,9.408688239147482
2026-05-26,9.31,9.49,9.119,9.14,1716886.87,-0.06361063317304883,-0.020255892629833717,-0.04335474054321511,False,False,9.32517477344499,9.38878540661804
2026-05-27,9.14,9.291,8.994,9.043,1635208.16,-0.08140840295641283,-0.032486394695149544,-0.048922008261263285,False,False,9.281763269838068,9.363171672794481
