symbol,date,level,entry,outcome,ret,crossover,volume
SOL/USDT,2025-01-18,223.18,261.97,win,0.1,True,True
EUR/USDT,2025-02-20,1.0505,1.0507,timeout,0.03569049205291719,False,True
TAO/USDT,2025-02-20,437.4,465.9,loss,-0.10811332904056666,False,True
XRP/USDT,2025-03-02,2.8356,2.9396,loss,-0.08361001496802298,True,True
ZEC/USDT,2025-03-02,38.98,41.27,loss,-0.10271383571601657,False,True
EUR/USDT,2025-03-04,1.0575,1.0619,timeout,0.01685657783218761,True,True
BNB/USDT,2025-03-21,635.01,635.17,loss,-0.0502393060125635,False,False
SOL/USDT,2025-03-24,136.71,141.01,loss,-0.07896957662577107,False,True
ZEC/USDT,2025-03-25,34.93,36.51,win,0.1000000000000001,False,True
EUR/USDT,2025-04-03,1.099,1.1045,timeout,0.025350837483024014,True,True
EUR/USDT,2025-04-10,1.114,1.1258,timeout,0.005773672055427405,True,True
TRX/USDT,2025-04-11,0.2418,0.243,timeout,0.006995884773662581,True,False
TAO/USDT,2025-04-18,263.2,274.5,win,0.10000000000000017,False,False
EUR/USDT,2025-04-21,1.1472,1.1514,timeout,-0.021799548375890133,True,True
BTC/USDT,2025-04-21,86496.42,87516.23,win,0.10000000000000009,False,True
NEAR/USDT,2025-04-22,2.247,2.404,win,0.10000000000000007,False,False
WLD/USDT,2025-04-22,0.792,0.839,win,0.1000000000000001,False,True
SOL/USDT,2025-04-22,147.48,148.79,win,0.10000000000000013,False,True
XLM/USDT,2025-04-22,0.2523,0.265,win,0.10000000000000009,False,True
BNB/USDT,2025-04-22,600.48,618.51,win,0.1,False,True
UNI/USDT,2025-04-22,5.648,5.81,loss,-0.07648881239242684,False,True
ETH/USDT,2025-04-22,1691.5,1756.26,win,0.10000000000000012,False,True
ENA/USDT,2025-04-24,0.3504,0.3566,loss,-0.06651710600112176,False,True
XRP/USDT,2025-04-27,2.2475,2.252,loss,-0.05189831261101237,False,True
BTC/USDT,2025-05-01,95758.04,96489.91,win,0.10000000000000009,True,True
ZEC/USDT,2025-05-07,40.12,40.49,win,0.10000000000000016,False,True
TRX/USDT,2025-05-08,0.2544,0.2571,timeout,0.06495527032283155,True,True
UNI/USDT,2025-05-08,6.099,6.151,win,0.10000000000000014,False,True
TAO/USDT,2025-05-08,389.5,423.3,win,0.10000000000000009,True,True
BNB/USDT,2025-05-08,610.75,629.17,win,0.10000000000000006,False,True
ETH/USDT,2025-05-08,1873.17,2207.39,win,0.10000000000000002,False,True
BTC/USDT,2025-05-08,97895.68,103261.6,timeout,0.04377406509292896,True,True
SOL/USDT,2025-05-08,153.99,164.46,win,0.10000000000000016,False,True
NEAR/USDT,2025-05-08,2.729,2.736,win,0.10000000000000002,False,True
XRP/USDT,2025-05-10,2.363,2.4711,loss,-0.09155841528064419,True,True
ENA/USDT,2025-05-10,0.3797,0.4189,loss,-0.13889949868703758,False,True
XLM/USDT,2025-05-10,0.2975,0.3217,loss,-0.12146409698476851,False,True
WLD/USDT,2025-05-11,1.259,1.262,loss,-0.052258320126783026,False,True
BTC/USDT,2025-05-18,105819.45,106454.26,loss,-0.05566505746223779,True,True
ZEC/USDT,2025-05-22,45.86,48.97,win,0.10000000000000012,True,True
WLD/USDT,2025-05-22,1.362,1.514,loss,-0.14537648612945836,True,True
