feature,family,auc,alone,stable,in_company,missing_pct
f_btc_rel_mom_24,f_btc_,0.5268364178122455,0.02683641781224555,1.0,0.0008344158688767811,0.0
f_hr_ema_fast_mid,f_hr_,0.5267726611223177,0.026772661122317687,0.8,0.0007873526112479046,0.0
f_wc_mom_60,f_wc_,0.5027215000807042,0.0027215000807041534,0.4,0.0007689741436303077,0.0
f_ta_cci,f_ta_,0.5603682842147371,0.060368284214737056,1.0,0.0007574558893287259,0.0
f_d1_rsi,f_d1_,0.5004534280854938,0.0004534280854937567,0.4,0.000740691022519599,0.0
f_hr_ema_mid_slow,f_hr_,0.49016363757486514,0.00983636242513486,0.8,0.0007392386726021716,0.0
f_ta_pta_cksp_short_dist,f_ta_pta_,0.4609662783747017,0.03903372162529828,1.0,0.0007280959784541907,0.0
f_hr_mom_72,f_hr_,0.5001039077439114,0.00010390774391144664,0.2,0.0007139573732889426,0.0
f_ta_dmi_diff,f_ta_,0.5469005657929146,0.04690056579291457,1.0,0.0006610397685561653,0.0
f_mst_ker,f_mst_,0.5079132288144035,0.007913228814403483,0.6,0.0006466988196410228,0.0
f_ta_pta_vortex_diff,f_ta_pta_,0.557349203941138,0.05734920394113796,1.0,0.0005735233067035994,0.0
f_st_dist_1,f_st_,0.5386746079119369,0.03867460791193689,1.0,0.0005564620086348088,0.0
f_hr_mom_12,f_hr_,0.5571323230237393,0.05713232302373927,1.0,0.0005323072988207417,0.0
f_wc_mom_30,f_wc_,0.5304836104605286,0.03048361046052861,0.8,0.0004811604471369191,0.0
f_ta_pta_fisher,f_ta_pta_,0.5430182241353987,0.043018224135398686,1.0,0.00045536053704695045,0.0
f_flow_imb,f_flow_,0.5118353647209277,0.011835364720927721,1.0,0.00044921968404590396,0.0
f_st_ema200_dist,f_st_,0.508818260597961,0.00881826059796098,0.4,0.00034951761242693613,0.0
f_hr_rsi,f_hr_,0.5518543927912143,0.05185439279121429,1.0,0.00033937062270708584,0.0
f_wc_rsi,f_wc_,0.5132204687189708,0.013220468718970757,0.6,0.0003273533095330683,0.0
f_tl_mama_dist,f_tl_,0.5528382655582929,0.05283826555829285,1.0,0.00031287826336197366,0.0
f_mst_ker_rank,f_mst_,0.5059116675327018,0.005911667532701781,0.6,0.0003002740523426056,0.0
f_mst_mult,f_mst_,0.5010505920684527,0.0010505920684527048,0.4,0.00017742761597308587,0.0
f_st_agree,f_st_,0.5479028648730381,0.047902864873038076,1.0,0.00012236636007874335,0.0
f_tl_cdl_harami,f_tl_,0.4979575788978705,0.002042421102129488,0.6,5.298914896614826e-05,0.0
f_w1_st_up,f_w1_,0.48449969925215386,0.01550030074784614,0.4,4.968870902202771e-05,0.0
f_st_flip,f_st_,0.5019884515242387,0.0019884515242386547,0.8,2.6710315570027676e-05,0.0
f_tl_ht_trendmode,f_tl_,0.5012224316048535,0.001222431604853469,0.6,1.3426994330600905e-05,0.0
f_tl_cdl_engulfing,f_tl_,0.5038279797556027,0.003827979755602673,0.6,7.5676997172008376e-06,0.0
f_tl_cdl_marubozu,f_tl_,0.5012081674783528,0.0012081674783528396,0.8,0.0,0.0
f_ta_stochk,f_ta_,0.5592663542068991,0.059266354206899075,1.0,0.0,0.0
f_mst_dir,f_mst_,0.5032815385867095,0.0032815385867095426,0.2,0.0,0.0
f_st_uptrend,f_st_,0.5336675201021904,0.03366752010219043,1.0,0.0,0.0
f_ta_pta_cmo,f_ta_pta_,0.5518544008637251,0.05185440086372506,1.0,0.0,0.0
f_tl_cdl_hammer,f_tl_,0.4955414441394316,0.004458555860568425,1.0,0.0,0.0
f_tl_cdl_shootingstar,f_tl_,0.49916802605326,0.0008319739467400056,0.8,0.0,0.0
f_tl_cdl_doji,f_tl_,0.49457274930707096,0.005427250692929042,1.0,0.0,0.0
f_tl_cdl_morningstar,f_tl_,0.4996179151500396,0.0003820848499603846,0.6,0.0,0.0
f_tl_cdl_eveningstar,f_tl_,0.4995860674806166,0.0004139325193833754,0.6,0.0,0.0
f_tl_cdl_three_white,f_tl_,0.4999056339637986,9.436603620138762e-05,0.75,0.0,0.0
f_flow_taker_ratio,f_flow_,0.5118353647209277,0.011835364720927721,1.0,0.0,0.0
f_tl_cdl_three_black,f_tl_,0.4999862622012004,1.373779879959569e-05,0.3333333333333333,0.0,0.0
f_mst_flip,f_mst_,0.503479347390203,0.003479347390202947,1.0,0.0,0.0
f_d1_st_up,f_d1_,0.4916547546276241,0.008345245372375909,1.0,-3.2292179089343787e-06,0.0
